Date,Bag,Ballerinas,Belt,Bikini top,Blazer,Blouse,Bodysuit,Boots,Bra,Bracelet,Cap/peaked,Cardigan,Coat,Costumes,Dress,Dungarees,Earring,Earrings,Flat shoe,Flip flop,Garment Set,Gloves,Hair clip,Hair string,Hair ties,Hair/alice band,Hat/beanie,Hat/brim,Heeled sandals,Hoodie,Jacket,Jumpsuit/Playsuit,Kids Underwear top,Leggings/Tights,Necklace,Night gown,Nipple covers,Other accessories,Other shoe,Outdoor Waistcoat,Outdoor trousers,Polo shirt,Pumps,Pyjama bottom,Pyjama jumpsuit/playsuit,Pyjama set,Ring,Robe,Sandals,Sarong,Scarf,Shirt,Shorts,Skirt,Slippers,Sneakers,Socks,Sunglasses,Sweater,Swimsuit,Swimwear bottom,Swimwear set,T-shirt,Tailored Waistcoat,Tie,Top,Trousers,Umbrella,Underdress,Underwear Tights,Underwear body,Underwear bottom,Underwear set,Vest top,Wallet,Watch,Wedge
2018-09-20,377.0,82.0,244.0,535.0,684.0,2571.0,207.0,448.0,1727.0,23.0,122.0,886.0,330.0,11.0,3162.0,68.0,215.0,6.0,72.0,41.0,128.0,37.0,48.0,55.0,22.0,93.0,143.0,34.0,52.0,864.0,1130.0,229.0,26.0,1346.0,188.0,60.0,6.0,169.0,68.0,19.0,6.0,92.0,92.0,114.0,56.0,234.0,35.0,48.0,128.0,1.0,269.0,1523.0,534.0,1260.0,35.0,259.0,602.0,65.0,8007.0,256.0,552.0,6.0,3485.0,22.0,12.0,2175.0,8722.0,9.0,3.0,474.0,113.0,1335.0,8.0,1240.0,0.0,17.0,25.0
2018-09-21,346.0,87.0,229.0,475.0,678.0,2511.0,173.0,424.0,1614.0,13.0,122.0,834.0,399.0,17.0,2980.0,65.0,185.0,2.0,56.0,32.0,136.0,65.0,53.0,67.0,17.0,74.0,159.0,32.0,52.0,1040.0,1222.0,156.0,46.0,1477.0,202.0,34.0,5.0,207.0,48.0,28.0,17.0,101.0,78.0,114.0,55.0,280.0,56.0,69.0,129.0,0.0,308.0,1450.0,486.0,1264.0,42.0,213.0,655.0,79.0,8104.0,252.0,512.0,7.0,3165.0,15.0,7.0,1967.0,8541.0,18.0,4.0,582.0,125.0,1210.0,1.0,1153.0,2.0,7.0,21.0
2018-09-22,105.0,18.0,87.0,125.0,290.0,921.0,49.0,145.0,599.0,8.0,40.0,344.0,133.0,6.0,953.0,17.0,64.0,1.0,22.0,15.0,48.0,16.0,24.0,24.0,14.0,30.0,83.0,8.0,24.0,431.0,416.0,58.0,13.0,559.0,64.0,18.0,0.0,83.0,19.0,7.0,5.0,31.0,31.0,55.0,20.0,105.0,14.0,16.0,40.0,0.0,145.0,623.0,155.0,412.0,19.0,84.0,338.0,10.0,3355.0,61.0,129.0,1.0,1073.0,4.0,0.0,592.0,3061.0,8.0,3.0,264.0,52.0,564.0,0.0,428.0,1.0,3.0,9.0
2018-09-23,297.0,74.0,217.0,474.0,618.0,2440.0,189.0,478.0,1538.0,10.0,98.0,1014.0,321.0,15.0,2820.0,73.0,133.0,2.0,33.0,35.0,155.0,73.0,34.0,41.0,13.0,67.0,207.0,43.0,39.0,1326.0,1349.0,176.0,55.0,1591.0,162.0,51.0,5.0,212.0,49.0,27.0,23.0,145.0,57.0,166.0,50.0,371.0,42.0,38.0,110.0,0.0,318.0,1596.0,577.0,1157.0,56.0,229.0,730.0,61.0,9745.0,245.0,523.0,22.0,2932.0,19.0,6.0,2120.0,10832.0,32.0,14.0,544.0,116.0,1267.0,2.0,1418.0,2.0,17.0,35.0
2018-09-24,292.0,68.0,197.0,492.0,637.0,2244.0,175.0,408.0,1404.0,14.0,93.0,848.0,294.0,17.0,2613.0,55.0,161.0,1.0,57.0,29.0,99.0,82.0,41.0,42.0,20.0,53.0,254.0,38.0,52.0,1302.0,1368.0,172.0,59.0,1384.0,160.0,39.0,4.0,152.0,47.0,30.0,15.0,129.0,70.0,196.0,55.0,328.0,54.0,52.0,100.0,0.0,336.0,1343.0,470.0,1049.0,60.0,303.0,561.0,45.0,8560.0,202.0,548.0,5.0,2716.0,21.0,11.0,1862.0,8211.0,15.0,17.0,526.0,114.0,1209.0,3.0,1196.0,2.0,15.0,29.0
2018-09-25,329.0,55.0,232.0,472.0,620.0,2048.0,153.0,396.0,1421.0,6.0,80.0,790.0,312.0,11.0,2369.0,48.0,141.0,1.0,45.0,34.0,106.0,97.0,34.0,39.0,24.0,70.0,236.0,31.0,37.0,1304.0,1206.0,142.0,28.0,1405.0,176.0,45.0,3.0,172.0,48.0,27.0,17.0,147.0,75.0,166.0,83.0,325.0,43.0,53.0,172.0,0.0,389.0,1275.0,547.0,1067.0,54.0,198.0,615.0,53.0,7918.0,258.0,473.0,16.0,2650.0,21.0,11.0,1826.0,7359.0,4.0,15.0,607.0,98.0,1169.0,3.0,1221.0,9.0,16.0,18.0
2018-09-26,437.0,73.0,235.0,466.0,636.0,2302.0,171.0,460.0,1487.0,17.0,128.0,914.0,365.0,14.0,2624.0,69.0,167.0,1.0,43.0,27.0,116.0,88.0,49.0,69.0,34.0,80.0,255.0,39.0,35.0,1533.0,1272.0,137.0,43.0,1558.0,187.0,56.0,1.0,202.0,37.0,25.0,5.0,134.0,68.0,173.0,53.0,283.0,55.0,56.0,128.0,0.0,430.0,1456.0,433.0,1085.0,69.0,238.0,861.0,70.0,8816.0,187.0,523.0,10.0,3051.0,31.0,12.0,2041.0,8114.0,5.0,12.0,601.0,106.0,1319.0,1.0,1248.0,2.0,12.0,13.0
2018-09-27,382.0,88.0,262.0,423.0,551.0,2159.0,118.0,464.0,1457.0,17.0,85.0,883.0,353.0,10.0,2754.0,43.0,203.0,2.0,40.0,35.0,90.0,104.0,53.0,46.0,24.0,82.0,222.0,24.0,54.0,1169.0,1070.0,159.0,30.0,1358.0,167.0,43.0,1.0,184.0,46.0,21.0,9.0,174.0,67.0,131.0,56.0,256.0,42.0,35.0,107.0,0.0,427.0,1329.0,439.0,1188.0,39.0,212.0,661.0,46.0,7954.0,212.0,449.0,16.0,2840.0,14.0,6.0,1822.0,7124.0,9.0,15.0,614.0,84.0,1251.0,3.0,1234.0,9.0,11.0,18.0
2018-09-28,598.0,82.0,465.0,363.0,978.0,3496.0,190.0,700.0,2119.0,20.0,132.0,1402.0,905.0,11.0,3650.0,64.0,317.0,3.0,49.0,36.0,110.0,137.0,89.0,100.0,43.0,86.0,388.0,47.0,62.0,1883.0,1697.0,164.0,44.0,1920.0,303.0,71.0,3.0,243.0,74.0,38.0,8.0,209.0,98.0,189.0,36.0,392.0,75.0,63.0,110.0,1.0,812.0,2077.0,565.0,1800.0,75.0,345.0,1184.0,85.0,12719.0,253.0,419.0,9.0,4328.0,20.0,11.0,2663.0,10467.0,16.0,20.0,960.0,160.0,1854.0,0.0,1658.0,6.0,16.0,19.0
2018-09-29,1091.0,175.0,882.0,723.0,2294.0,6854.0,474.0,1341.0,4229.0,43.0,358.0,3203.0,1424.0,27.0,6564.0,129.0,657.0,5.0,72.0,61.0,331.0,337.0,210.0,229.0,159.0,238.0,985.0,103.0,70.0,4409.0,3670.0,368.0,114.0,4567.0,673.0,140.0,10.0,450.0,109.0,123.0,19.0,466.0,175.0,448.0,84.0,712.0,154.0,124.0,152.0,0.0,2014.0,4694.0,827.0,3080.0,123.0,557.0,3471.0,134.0,28338.0,324.0,819.0,13.0,9380.0,51.0,44.0,4909.0,21421.0,27.0,19.0,2473.0,274.0,4247.0,3.0,3826.0,11.0,36.0,24.0
